id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-1274815";"2022-01-17";"1";"Vente";"466500.0";"3.0";"None";"RUE MAURICE AUDIN";"6162";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"501068";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"65.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2022-1274920";"2022-01-12";"1";"Vente";"430000.0";"21.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"3001023";"65.86";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"64.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2022-1274754";"2022-01-06";"1";"Vente";"439990.0";"21.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"3001016";"63.5";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2022-1274960";"2022-01-06";"1";"Vente";"90000.0";"8.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0052";"None";"None";"1001";"66.6";"1106";"nan";"None";"None";"None";"None";"None";"None";"2";"2";"Appartement";"66.0";"1.0";"None";"None";"None";"None";"nan";"2.323914";"48.914348";"0000J"
"2021-1601165";"2021-12-29";"1";"Vente";"443000.0";"8.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0052";"None";"None";"1010";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"2.323914";"48.914348";"0000J"
"2021-1598652";"2021-12-08";"1";"Vente";"492000.0";"18.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0053";"None";"None";"12";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"68.0";"3.0";"None";"None";"None";"None";"nan";"2.324411";"48.913806";"0000J"
"2021-1599022";"2021-11-26";"1";"Vente";"495500.0";"28.0";"None";"RUE LA CLEF DES CHAMPS";"1477";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"3003059";"63.34";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1599547";"2021-11-25";"1";"Vente";"318000.0";"10.0";"None";"RUE DES BATELIERS";"0615";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"701036";"41.3";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"41.0";"2.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1595920";"2021-10-28";"1";"Vente";"455290.0";"21.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"3001062";"85.82";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"86.0";"4.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1594727";"2021-10-15";"1";"Vente";"410350.0";"21.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"3001015";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"55.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1595643";"2021-10-14";"1";"Vente";"413000.0";"23.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"2000016";"58.29";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"57.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1594033";"2021-09-24";"1";"Vente";"486624.0";"18.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0053";"None";"None";"6";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"75.0";"3.0";"None";"None";"None";"None";"nan";"2.324411";"48.913806";"0000J"
"2021-1593240";"2021-09-03";"1";"Vente";"427600.0";"8.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0052";"None";"None";"1042";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"67.0";"3.0";"None";"None";"None";"None";"nan";"2.323914";"48.914348";"0000J"
"2021-1591503";"2021-08-06";"1";"Vente";"367150.0";"3.0";"None";"RUE MAURICE AUDIN";"6162";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"501085";"51.96";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"52.0";"2.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1589295";"2021-07-23";"1";"Vente";"464000.0";"28.0";"None";"RUE LA CLEF DES CHAMPS";"1477";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"3003041";"63.25";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1589216";"2021-07-21";"1";"Vente";"440750.0";"21.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"3001085";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"60.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1588994";"2021-07-19";"1";"Vente";"495000.0";"10.0";"None";"RUE DES BATELIERS";"0615";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"701041";"nan";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1587892";"2021-07-13";"1";"Vente";"409900.0";"8.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0052";"None";"None";"1012";"63.72";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"63.0";"3.0";"None";"None";"None";"None";"nan";"2.323914";"48.914348";"0000J"
"2021-1587702";"2021-07-07";"1";"Vente";"440000.0";"2.0";"None";"RUE MAURICE AUDIN";"6162";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"702006";"68.58";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"68.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1587730";"2021-07-07";"1";"Vente";"473000.0";"23.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"2000030";"75.23";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"91.0";"4.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1586612";"2021-06-28";"1";"Vente";"450000.0";"4.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0052";"None";"None";"2006";"61.58";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"60.0";"3.0";"None";"None";"None";"None";"nan";"2.323914";"48.914348";"0000J"
"2021-1587133";"2021-06-24";"1";"Vente";"485000.0";"12.0";"None";"RUE DES BATELIERS";"0615";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"501029";"65.06";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"65.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1586281";"2021-06-18";"1";"Vente";"426000.0";"3.0";"None";"RUE MAURICE AUDIN";"6162";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"501066";"60.41";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"60.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1586056";"2021-06-16";"1";"Vente";"508000.0";"21.0";"None";"ALL DE PARIS";"7115";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"3001053";"67.53";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"67.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
"2021-1603692";"2021-06-01";"1";"Vente";"482400.0";"2.0";"None";"RUE MAURICE AUDIN";"6162";"93400";"93070";"Saint-Ouen-sur-Seine";"93";"None";"None";"930700000J0060";"None";"None";"702039";"69.02";"None";"nan";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"68.0";"3.0";"None";"None";"None";"None";"nan";"2.324946";"48.914274";"0000J"
